Correlation,MSE,MaxE,MaxEMean,MaxERaw,MinE,MinEMean,MinERaw,Mue,Mup,Neuron,Pval,PvalMSE,Session,Sige,Sigp
0.19052709345437618,0.023503092529004784,0.0,0.0,0.0,0.0,0.0,0.0,5.244395846711822e-06,-28.611084273094065,138,1.6082667174993384e-46,1.6084239703638961e-46,dFF_tetO_7_08052021_T10processedOutput,0.010481210383242004,6.8847723359048
0.23331371285780517,0.019722234924472223,13.0,13.0,13.0,-13.0,-13.0,-13.0,5.246251035541206,247.07216796857455,231,2.3683969687099593e-63,3.120642686889095e-67,dFF_tetO_9_07272021_T10processedOutput,4.335959431767985,26.756385828502403
0.13928550634996972,0.025209114952442713,12.0,12.0,12.0,-12.0,-12.0,-12.0,2.765082605488888,241.67516521328446,283,0.0174604838459426,0.0267305791264387,dFF_tetO_9_07302021_T10processedOutput,9.594324036325734,55.73320926015681
0.7199144602045049,0.010052319301480813,12.0,12.0,12.0,-12.0,-12.0,-12.0,6.963531512629288,274.68887585483014,160,1.0444317132245683e-79,2.911063325996897e-83,dFF_tetO_9_07302021_T10processedOutput,5.221643694955811,44.799862140645025
0.8466992526993415,0.014229479839705192,9.0,2.0,10.0,-11.0,-2.0,-12.0,-2.9999999999999996,23.11344542883242,14,9.950431856288913e-40,4.3625850400922945e-40,dFF_tetO_8_08052021_T11processedOutput,17.568383595035723,131.4485597955386
0.026028460171351023,0.019324150594163227,12.0,12.0,12.0,-12.0,-12.0,-12.0,12.9999999987,285.56616627004775,324,,0.2684066807855151,dFF_tetO_9_07302021_T10processedOutput,2.6688319219999377,16.050372633360286
0.15134085562607114,0.024818053277279335,0.0,0.0,0.0,0.0,0.0,0.0,0.7524748613203099,-30.71411318126959,6,0.02383414572877267,0.02383512309850207,dFF_tetO_7_07302021_T10processedOutput,2.24634348118715,10.626144877064174
0.03554025216474865,0.0195431905772795,13.0,13.0,13.0,-12.0,-12.0,-12.0,14.999999791794805,296.59733374489394,247,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,13.95981182443713,18.168709932016924
0.05243137532715212,0.02373721878541525,12.0,12.0,12.0,-12.0,-12.0,-12.0,0.0776471222210004,259.5601561056931,205,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,6.166956668900211,16.09064500541704
0.014531810006417005,0.027571334778965614,,0.0,,,0.0,,-0.014596915619702437,-25.425437287063957,179,6.633730440219567e-09,,dFF_tetO_9_07302021_T10processedOutput,3.1742367404979643,1.519691815672339
